houseID,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
K76,3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
H69,3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
L30,3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
N26,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
X24,4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
Z28,2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
H48,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
G18,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
Y91,4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
D80,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
P42,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
Z38,3045000,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished
M33,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
H12,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
L31,3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished
D70,2660000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
H76,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
M72,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
V35,3500000,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
L35,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
U95,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
H79,3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished
S33,3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished
G43,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
F49,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
D18,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
Y33,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
X18,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
Y54,4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
D76,4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
Z50,3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
N54,3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
J14,3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
E95,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
B28,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
X24,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
E94,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
E35,3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
S24,2940000,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
J27,2485000,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
Q15,2450000,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
